station_id,org_id,station_group,model,activation_dt,timezone_offset,address,manufacturer,station_name,description,port_no,reservable,status,level,time_stamp,mode,connector,voltage,current,power,estimated_cost,location_lat,location_long
4573a9ca18,ddf94b575f,3005953;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:36:52,,8888 University Drive ,ChargePoint,SFU / CPL-07,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279176059264410,-122.918846781692510
047effd886,ddf94b575f,3005943;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:34:43,,8888 University Drive ,ChargePoint,SFU / CPL-06,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279295045735815,-122.918385441741950
bddc428b79,ddf94b575f,3005933;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:35:41,,8888 University Drive ,ChargePoint,SFU / CPL-05,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279309044125310,-122.919318850479130
877bdb5fe8,ddf94b575f,3005873;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:37:28,,8888 University Drive ,ChargePoint,SFU / CPL-04,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279323042510875,-122.919093544921880
0342d90fcf,ddf94b575f,40439;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:30:57,,8888 University Drive ,ChargePoint,SFU / CPL-03,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279291238871170,-122.918611903704830
3488aacebc,ddf94b575f,3005823;387153;433063,CT4020-HD2-GW-LTE,2024-10-02 09:10:52,,8888 University Drive ,ChargePoint,SFU / CPL-02,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279312236455580,-122.918858666934200
7543409772,ddf94b575f,2282101;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:43:08,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-06,Stalls 7020/7022,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279788834800260,-122.922929104151920
18173fd803,ddf94b575f,2281921;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:00:15,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-03,Stalls 7042/7044,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279778336110710,-122.922870095553590
a9eb1fa250,ddf94b575f,2282191;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:47:30,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-07,Stalls 7016/7018,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279776437666860,-122.922896917305000
0b22b7c266,ddf94b575f,2282001;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:18:29,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-05,Stalls 7024/7026,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279797435044690,-122.922908987245560
bc1fdb94c5,ddf94b575f,2281991;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:08:40,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-04,Stalls 7036/7038,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279810558401316,-122.922921057186130
1ff7182ea0,ddf94b575f,2281861;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 08:54:06,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-02,Stalls 7046/7048,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279788686138350,-122.922891552886970
4a34bc74b0,ddf94b575f,2281791;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 08:42:17,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-01,Stalls 7050/7052,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279713743039560,-122.922417655603030
8d245803d0,ddf94b575f,801831;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;388753,CT4020-HD-GW,2021-05-20 13:20:25,,8999 Nelson Way ,ChargePoint,SFU / DISCOVERY 2,Near left rear of entrance ,1,0,,L2,,,J1772,240,30,6.600,0.0,49.273640000000000,-122.911804000000000
44a62bb258,ddf94b575f,474691;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2019-11-07 11:38:48,,8911 Cornerstone Mews ,ChargePoint,SFU / EAST LOT,Across from Restaurant ,1,0,,L2,,,J1772,240,30,6.600,0.0,49.277717022768385,-122.912131805557220
adcfa1983d,ddf94b575f,474521;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;388753;433063,CT4020-HD-GW,2019-11-07 10:32:17,,8888 University Drive ,ChargePoint,SFU / CPL-01,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,1,0,,L2,,,J1772,240,30,6.600,0.0,49.279153468684726,-122.918765498178130
f605e53f24,ddf94b575f,448291;665421;1007161;43819;45487;45677;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;388753;433063,CT4020-HD-GW,2019-11-06 07:23:58,,8999 Nelson Way ,ChargePoint,SFU / DISCOVERY,NELSON WAY,1,0,,L2,,,J1772,240,30,6.600,0.0,49.274141338092200,-122.912317918005390
2f3eaeac89,ddf94b575f,552961;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;433063,CT4020-HD,2020-02-21 15:20:45,,13419 103 Ave ,ChargePoint,SFU / STATION 1,-,1,0,,L2,,,J1772,240,30,6.600,0.0,49.189137843905776,-122.850602497553270
2f753a1a41,ddf94b575f,552961;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2019-10-01 15:08:32,,13409 102a Ave ,ChargePoint,SFU / STATION 2,-,1,0,,L2,,,J1772,240,30,6.600,0.0,49.189098216952060,-122.850664432456950
4573a9ca18,ddf94b575f,3005953;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:36:52,,8888 University Drive ,ChargePoint,SFU / CPL-07,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279176059264410,-122.918846781692510
047effd886,ddf94b575f,3005943;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:34:43,,8888 University Drive ,ChargePoint,SFU / CPL-06,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279295045735815,-122.918385441741950
bddc428b79,ddf94b575f,3005933;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:35:41,,8888 University Drive ,ChargePoint,SFU / CPL-05,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279309044125310,-122.919318850479130
877bdb5fe8,ddf94b575f,3005873;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:37:28,,8888 University Drive ,ChargePoint,SFU / CPL-04,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279323042510875,-122.919093544921880
0342d90fcf,ddf94b575f,40439;387153;433063,CT4020-HD2-GW-LTE,2024-10-07 14:30:57,,8888 University Drive ,ChargePoint,SFU / CPL-03,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279291238871170,-122.918611903704830
3488aacebc,ddf94b575f,3005823;387153;433063,CT4020-HD2-GW-LTE,2024-10-02 09:10:52,,8888 University Drive ,ChargePoint,SFU / CPL-02,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279312236455580,-122.918858666934200
7543409772,ddf94b575f,2282101;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:43:08,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-06,Stalls 7020/7022,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279788834800260,-122.922929104151920
18173fd803,ddf94b575f,2281921;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:00:15,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-03,Stalls 7042/7044,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279778336110710,-122.922870095553590
a9eb1fa250,ddf94b575f,2282191;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:47:30,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-07,Stalls 7016/7018,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279776437666860,-122.922896917305000
0b22b7c266,ddf94b575f,2282001;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:18:29,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-05,Stalls 7024/7026,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279797435044690,-122.922908987245560
bc1fdb94c5,ddf94b575f,2281991;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 09:08:40,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-04,Stalls 7036/7038,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279810558401316,-122.922921057186130
1ff7182ea0,ddf94b575f,2281861;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 08:54:06,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-02,Stalls 7046/7048,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279788686138350,-122.922891552886970
4a34bc74b0,ddf94b575f,2281791;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2023-04-14 08:42:17,,8888 University Drive ,ChargePoint,SFU / SFU WMC 7000-01,Stalls 7050/7052,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279713743039560,-122.922417655603030
8d245803d0,ddf94b575f,801831;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;388753,CT4020-HD-GW,2021-05-20 13:20:25,,8999 Nelson Way ,ChargePoint,SFU / DISCOVERY 2,Near left rear of entrance ,2,0,,L2,,,J1772,240,30,6.600,0.0,49.273640000000000,-122.911804000000000
44a62bb258,ddf94b575f,474691;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;611821;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2019-11-07 11:38:48,,8911 Cornerstone Mews ,ChargePoint,SFU / EAST LOT,Across from Restaurant ,2,0,,L2,,,J1772,240,30,6.600,0.0,49.277717022768385,-122.912131805557220
adcfa1983d,ddf94b575f,474521;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;388753;433063,CT4020-HD-GW,2019-11-07 10:32:17,,8888 University Drive ,ChargePoint,SFU / CPL-01,8:30AM - 4:30PM Mon - Fri this station is reserved for SFU Central Parkade Permit holders,2,0,,L2,,,J1772,240,30,6.600,0.0,49.279153468684726,-122.918765498178130
f605e53f24,ddf94b575f,448291;665421;1007161;43819;45487;45677;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;388753;433063,CT4020-HD-GW,2019-11-06 07:23:58,,8999 Nelson Way ,ChargePoint,SFU / DISCOVERY,NELSON WAY,2,0,,L2,,,J1772,240,30,6.600,0.0,49.274141338092200,-122.912317918005390
2f3eaeac89,ddf94b575f,552961;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;433063,CT4020-HD,2020-02-21 15:20:45,,13419 103 Ave ,ChargePoint,SFU / STATION 1,-,2,0,,L2,,,J1772,240,30,6.600,0.0,49.189137843905776,-122.850602497553270
2f753a1a41,ddf94b575f,552961;665421;1007161;40815;43819;45487;45677;123291;135141;261151;288341;589371;611821;1178281;1178321;1178341;1178381;2425221;387153;433063,CT4020-HD2-GW-LTE,2019-10-01 15:08:32,,13409 102a Ave ,ChargePoint,SFU / STATION 2,-,2,0,,L2,,,J1772,240,30,6.600,0.0,49.189098216952060,-122.850664432456950
